,titles,locations,prices
2096,4 Bed House with En Suite at Kikambala,"North Coast Hotel, Kikambala",13500000.0
2097,5 Bed House with En Suite at Flem Tree,"54, Flem Tree, Runda, Westlands",52000000.0
2098,5 Bed House with En Suite at Diani,"Diani Reef, Diani",6000000.0
2099,5 Bed Villa with En Suite at Diani,"Diani Reef, Diani",55000000.0
2100,4 Bed Townhouse with En Suite at Mugutha,"Mugutha, Ruiru",80000000.0
2101,3 Bed House with Swimming Pool in Vipingo,Vipingo,65000000.0
2102,5 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",32000000.0
2103,3 Bed House with En Suite at Fivestar Meadows Estate,"Fivestar Meadows Estate, Kiambu Road",100000000.0
2104,4 Bed House with En Suite in Shanzu,Shanzu,78000000.0
2105,3 Bed House with Garden in Vipingo,Vipingo,22000000.0
2106,4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",70000000.0
2107,4 Bed House with En Suite in Runda,"Runda, Westlands",350000000.0
2108,3 Bed House with En Suite at Mtwapa,"Broadways, Mtwapa",40000000.0
2109,4 Bed House in Tigoni,"Tigoni, Limuru",9500000.0
2110,4 Bed House with En Suite in Muthaiga,Muthaiga,200000000.0
2111,3 Bed House in Ongata Rongai,Ongata Rongai,20000000.0
2112,5 Bed House with En Suite at Eliudmathu Streets,"11155, EliudMathu Streets, Runda, Westlands",125000000.0
2113,9 Bed House with En Suite at Eliud Mathu,"44, Eliud Mathu, Runda, Westlands",315000000.0
2114,5 Bed House with En Suite at Ruaka Road,"54, Ruaka Road, Runda, Westlands",45000000.0
2115,6 Bed House with En Suite at Runda Grove,"55, Runda Grove, Runda, Westlands",38000000.0
2116,6 Bed House with En Suite at Mombasa,"Tudor, Mombasa, Mombasa Island",25500000.0
2117,4 Bed Villa with En Suite at Malindi,"Kibokoni, Malindi",43500000.0
2118,5 Bed House with En Suite at Malindi,"Kibokoni, Malindi",89000000.0
2119,3 Bed Townhouse in Embakasi,Embakasi,30000000.0
2120,5 Bed Townhouse with En Suite in Lavington,Lavington,80000000.0
2121,5 Bed Townhouse with En Suite in Lavington,Lavington,7500000.0
2122,4 Bed Townhouse with En Suite in Lavington,Lavington,62000000.0
2123,6 Bed Villa with En Suite at Nyali,"Nyali, Mkomani",19900000.0
2124,4 Bed Townhouse with En Suite at Fouways Junction Estate,"Fouways Junction Estate, Kiambu Road",52500000.0
2125,4 Bed Villa with En Suite in Karen,Karen,93000000.0
2126,5 Bed House with En Suite at Lower Kabete,"99, Lower Kabete, Westlands",375000000.0
2127,3 Bed Villa with En Suite in Mtwapa,Mtwapa,35000000.0
2128,5 Bed Townhouse with En Suite in Lavington,Lavington,5200000.0
2129,4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",78000000.0
2130,4 Bed House with En Suite in Ruiru,Ruiru,140000000.0
2131,3 Bed Townhouse with En Suite at Mtwapa,"Jumba Ruins, Mtwapa",70000000.0
2132,4 Bed Townhouse with En Suite in Lavington,Lavington,160000000.0
2133,4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",18500000.0
2134,5 Bed Townhouse with En Suite in Lavington,Lavington,50000000.0
2135,2 Bed Villa with En Suite in Diani,Diani,45000000.0
2136,5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,23000000.0
2137,5 Bed Townhouse with En Suite at Nyali,"nyali, Nyali Area, Nyali",47500000.0
2138,5 Bed Townhouse with En Suite in Kitengela,Kitengela,24000000.0
2139,4 Bed Townhouse with En Suite in Lavington,Lavington,7500000.0
2140,5 Bed House with En Suite in Shanzu,Shanzu,42000000.0
2141,3 Bed House with En Suite at Kanamai,"Jumuia conference, Kanamai, Kikambala",8500000.0
2142,4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",450000000.0
2143,5 Bed Townhouse with En Suite in Lavington,Lavington,110000000.0
2144,4 Bed Townhouse with En Suite at Greenwood Drive,"Greenwood drive, Nyali Area, Nyali",12500000.0
2145,5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,42500000.0
2146,4 Bed Villa with En Suite in Diani,Diani,29500000.0
2147,4 Bed House with En Suite in Limuru,Limuru,130000000.0
2148,7 Bed House with En Suite in Runda,"Runda, Westlands",59000000.0
2149,3 Bed House with En Suite at Kona Ya Musa,"3, Kona ya Musa, Ukunda",28000000.0
2150,6 Bed Townhouse with En Suite in Lavington,Lavington,58000000.0
2151,5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",9500000.0
2152,5 Bed House with En Suite in Shanzu,Shanzu,75000000.0
2153,4 Bed Villa with Swimming Pool in Diani,Diani,37500000.0
2154,5 Bed House with En Suite in Ongata Rongai,Ongata Rongai,50000000.0
2155,4 Bed House with En Suite at Eliud Mathu,"678, Eliud Mathu, Runda, Westlands",45000000.0
2156,5 Bed Townhouse with En Suite in Lavington,Lavington,
2157,4 Bed House with En Suite in Thome,"Thome, Roysambu",
2158,10 Bed House with En Suite at Runda Road,"009, Runda Road, Runda, Westlands",
2159,5 Bed House with En Suite at Eliud Mathu Streets,"890, Eliud Mathu streets, Runda, Westlands",
2160,5 Bed House with Garden at Old Muthaiga,"Old Muthaiga, Muthaiga",
2161,6 Bed House with En Suite in Shanzu,Shanzu,
2162,5 Bed House with En Suite in South C,South C,
2163,4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2164,3 Bed Townhouse with Swimming Pool at Mtwapa,"mtwapa, Mtwapa",
2165,4 Bed Villa with En Suite at Pride Inn,"Serena, Pride Inn, Shanzu",
2166,7 Bed Villa with En Suite at Mtwapa Creekside,"Aloo drive, Mtwapa creekside, Mtwapa",
2167,5 Bed Townhouse with En Suite in Lavington,Lavington,
2168,3 Bed Villa with En Suite at Lower Kabete Road,"Lower Kabete Road, Lower Kabete, Westlands",
2169,2 Bed House with Garden at Sweet Waters,"Sweet waters, Nanyuki",
2170,4 Bed Townhouse with En Suite in Lavington,Lavington,
2171,4 Bed Townhouse with En Suite in Lavington,Lavington,
2172,4 Bed House with En Suite at Sigona,"Sigona, Kikuyu Town, Kikuyu",
2173,4 Bed Townhouse with En Suite in Donholm,Donholm,
2174,3 Bed House with En Suite in Kamangu,Kamangu,
2175,7 Bed House with En Suite at Runda Road,"89, Runda Road, Runda, Westlands",
2176,3 Bed House with En Suite in Kitengela,Kitengela,
2177,3 Bed Villa with En Suite at Mtwapa,"Aloo drive, Mtwapa",
2178,4 Bed Townhouse with En Suite at Langata Road,"Dam Estate, Langata Road, Langata",
2179,3 Bed Townhouse with En Suite in South B,South B,
2180,4 Bed House with En Suite at 200M Off Kiambu Road,"200M Off Kiambu Road, Kiambu Road",
2181,5 Bed Villa with En Suite at Diani,Diani,
2182,5 Bed House with En Suite at Runda Road,"900, Runda Road, Runda, Westlands",
2183,3 Bed House with Garden in Kilimani,Kilimani,
2184,5 Bed Villa with En Suite in Loresho,"Loresho, Westlands",
2185,4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2186,5 Bed House with En Suite at Flem Tree,"67, Flem Tree, Runda, Westlands",
2187,5 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2188,5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2189,3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2190,4 Bed Townhouse with En Suite in Kilimani,Kilimani,
2191,6 Bed House with En Suite at Nairobi,"Riverside gardens, Nairobi, Riverside, Westlands",
2192,6 Bed House with En Suite at Muthaiga Road,"89, Muthaiga Road, Muthaiga",
2193,4 Bed Townhouse with En Suite at South C,South C,
2194,4 Bed House with En Suite at Links Road,"Links road, Nyali Area, Nyali",
2195,4 Bed Villa with En Suite at Kilifi,"Vipingo,vipingo,kilifi, Vipingo ,vipingo,kilifi, Kikambala",
2196,4 Bed Townhouse with En Suite at Baobab Road,"Baobab road, Nyali Area, Nyali",
2197,4 Bed House with En Suite in Kikambala,Kikambala,
2198,3 Bed Villa with En Suite at Mtwapa,"Jumba Ruins, Mtwapa",
2199,3 Bed Townhouse with En Suite at Mtwapa,"mtwapa, Mtwapa",
2200,3 Bed House with En Suite at Kamulu 26,"Kamulu 26, Kamulu, Kamulu Joska Malaa",
2201,3 Bed House with En Suite at Kenyatta Road,Kenyatta Road,
2202,5 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2203,4 Bed Townhouse with En Suite at Mtwapa Garden,"Mtwapa Garden, Mtwapa",
2204,4 Bed House with En Suite at Bamburi,"Bamburi, Mombasa CBD, Mombasa Island",
2205,5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",
2206,4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",
2207,5 Bed House with En Suite at Kitisuru Road,"66 d, Kitisuru Road, Kitisuru, Westlands",
2208,3 Bed House with En Suite in Mtwapa,Mtwapa,
2209,4 Bed Townhouse with En Suite in Lavington,Lavington,
2210,3 Bed House with En Suite at Jumba Ruins,"Mtwapa, Jumba Ruins",
2211,4 Bed House with En Suite in Changamwe,Changamwe,
2212,7 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2213,4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2214,3 Bed Villa with En Suite at Mtwapa,"Jumba Ruins, Mtwapa",
2215,3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2216,4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,
2217,4 Bed Townhouse with En Suite at Oloitoktok Road,"oloitoktok road, Kileleshwa",
2218,4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",
2219,2 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2220,6 Bed Villa with En Suite at Lower Kabete,"65, Lower kabete, Lower Kabete, Westlands",
2221,4 Bed Villa with Staff Quarters at Links Road,"Links road, Nyali Area, Nyali",
2222,4 Bed Villa with En Suite at Vipingo Beach Estate,"Vipingo Beach, Vipingo Beach Estate, Vipingo",
2223,4 Bed Townhouse with En Suite at Chalbi Drive,"chalbi drive, Lavington",
2224,4 Bed House with En Suite at Shanzu,Shanzu,
2225,4 Bed Villa with En Suite at Links Road,"Links road, Nyali Area, Nyali",
