,titles,locations,prices
1,5 Bed House with En Suite in Kamakis,"Kamakis, Ruiru",18500000.0
2,6 Bed House with En Suite at Lamu Town,"Lamu Town, Lamu, lamu",24000000.0
3,3 Bed Townhouse with En Suite in Mtwapa,"0105, Mtwapa",195000000.0
4,5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",22000000.0
5,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,73000000.0
6,5 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",12500000.0
7,10 Bed House with En Suite at Isaac Gathanju Road,"Isaac Gathanju Road, Lavington",81000000.0
8,6 Bed House with En Suite at Near Sasini Factory,"Near Sasini Factory, Kiambu Road",4000000.0
9,4 Bed House with En Suite at Greenspot Gardens,"GreenSpot Gardens, Kamakis, Ruiru",55000000.0
10,3 Bed House with En Suite in Kitengela,Kitengela,8000000.0
11,3 Bed House with En Suite at Acacia Area,"Acacia area, Kitengela",71000000.0
12,3 Bed House with En Suite at Nkoroi,"Nkoroi, Ongata Rongai",65000000.0
13,5 Bed House with En Suite at Daykio Area,"Daykio area, Ruiru",28000000.0
14,4 Bed House with En Suite at Mugutha Area,"Mugutha area, Ruiru",58000000.0
15,3 Bed House with En Suite at Kibiko,"Kibiko, Ngong",9000000.0
16,6 Bed Villa with En Suite at Ruiru,Ruiru,135000000.0
17,4 Bed Villa with En Suite at Rosslyn Lone Tree,"55, Rosslyn lone Tree, Rosslyn, Westlands",6500000.0
18,4 Bed Townhouse with En Suite at Rossline Lone Tree,"65, Rossline Lone tree, Rosslyn, Westlands",80000.0
19,4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",75000000.0
20,4 Bed House with En Suite at Rossline Lone Tree,"77, Rossline Lone tree, Rosslyn, Westlands",155000000.0
21,5 Bed Townhouse with En Suite in Lavington,Lavington,130000000.0
22,4 Bed Townhouse with En Suite in Lavington,Lavington,8800000.0
23,5 Bed House with En Suite in Runda,"Runda, Westlands",6800000.0
24,2 Bed Villa with En Suite at Gtc,"westlands, GTC, Westlands Area, Westlands",81000000.0
25,4 Bed Villa with En Suite at Mambrui,"Mambrui, Malindi",198000000.0
26,5 Bed House with En Suite in Loresho,"Loresho, Westlands",55000000.0
27,5 Bed House with En Suite at Karen Range,"Karen Range, Karen",150000000.0
28,4 Bed House with En Suite at Thigio,"Thigio, Kamangu",80000000.0
29,5 Bed House with En Suite at Thigiri,"Thigiri, Westlands",71000000.0
30,7 Bed House with En Suite in Karen,Karen,7500000.0
31,4 Bed House with En Suite in Karen,Karen,10900000.0
32,4 Bed House with En Suite in Ruiru,Ruiru,110000000.0
33,5 Bed Villa with En Suite in Karen,Karen,45000000.0
34,5 Bed Townhouse with En Suite in Lavington,Lavington,20000000.0
35,4 Bed Townhouse with En Suite in Lavington,Lavington,18000000.0
36,5 Bed Townhouse with En Suite in Lavington,Lavington,290000000.0
37,4 Bed House with En Suite at New Runda,"00502, New runda, Runda, Westlands",19500000.0
38,4 Bed Townhouse with En Suite in Lavington,Lavington,23000000.0
39,4 Bed Townhouse with En Suite at Membley,"Membley, Ruiru",24000000.0
40,5 Bed House with En Suite in Lavington,Lavington,80000000.0
41,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,150000000.0
42,3 Bed House with En Suite at Lavington,"Maziwa, Njumbi Rd, Lavington",65000000.0
43,4 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",115000000.0
44,3 Bed House with En Suite at Kitengela (Milimani),"Kitengela (Milimani), Kitengela",23900000.0
45,4 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",62000000.0
46,4 Bed House with En Suite at Loresho Crescent,"Loresho Crescent, Loresho, Westlands",32000000.0
47,4 Bed Townhouse with En Suite at Grevellia Brookside Nairobi,"0328J, Grevellia Brookside Nairobi, Brookside, Westlands",93000000.0
48,5 Bed Villa with En Suite at Muthangari Area,"Muthangari area, Lavington",14000000.0
49,5 Bed Villa with En Suite at Karen Rd Waterfront,"Karen Rd Waterfront, Karen",71000000.0
50,6 Bed House with En Suite at Near The Hub Karen,"Near The Hub Karen, Karen",35000000.0
51,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",180000000.0
52,3 Bed Townhouse with En Suite at Mtwapa,"mtwapa, Mombasa CBD, Mombasa Island",130000000.0
53,4 Bed Townhouse with En Suite at Ruiru,Ruiru,81000000.0
54,4 Bed Villa with En Suite at Membley Estate,"Membley Estate, Eastern ByPass, Ruiru",17500000.0
55,5 Bed House with En Suite in Nyari,"Nyari, Westlands",28000000.0
56,4 Bed Townhouse with En Suite at Lavington Green,"Lavington green, Lavington",9000000.0
57,5 Bed Villa with En Suite in Runda,"Runda, Westlands",85000000.0
58,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",48000000.0
59,5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",75000000.0
60,5 Bed House with En Suite in Lavington,Lavington,37000000.0
61,5 Bed Townhouse with En Suite at Langata Road-,"1Langata road-Kitengela lane, Langata road-, Langata",16000000.0
62,4 Bed House with En Suite at Ruiru Easterbypass,"Kamakis, Ruiru Easterbypass, Ruiru",5500000.0
63,4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,17000000.0
64,4 Bed House with En Suite at Loresho,"Loresho, Westlands",13500000.0
65,3 Bed House with En Suite in Ruiru,Ruiru,30000000.0
66,4 Bed House with En Suite in Ruiru,Ruiru,55000000.0
67,5 Bed House in General Mathenge,"General Mathenge, Westlands",150000000.0
68,4 Bed Townhouse with Staff Quarters at Kamakis,"Kamakis, Ruiru",7500000.0
69,4 Bed Townhouse with En Suite at Phenom Estate,"Phenom Estate, Langata",32000000.0
70,5 Bed Townhouse with En Suite in Lavington,Lavington,16500000.0
71,4 Bed Townhouse with En Suite in Lavington,Lavington,93000000.0
72,5 Bed Townhouse with En Suite at Lavington,"LAVINGTON, Lavington",84000000.0
73,4 Bed Villa with En Suite in Karen,Karen,7000000.0
74,5 Bed House with En Suite in Ruiru,Ruiru,12500000.0
75,4 Bed House with En Suite in Lavington,Lavington,100000000.0
76,4 Bed Townhouse with Walk In Closet at Muigai Prestige Estate,"Jacaranda Lane, Muigai Prestige Estate, Kitengela",78000000.0
77,6 Bed Townhouse with En Suite in Lavington,Lavington,22000000.0
78,3 Bed House with En Suite at Kitengela (Milimani),"Kitengela (Milimani), Kitengela",70000000.0
79,4 Bed Villa with En Suite at Kileleshwa,"kileleshwa, Kileleshwa",220000000.0
80,6 Bed Townhouse with En Suite at Shanzu Road,"shanzu Road, Westlands Area, Westlands",145000000.0
81,5 Bed House with En Suite in Syokimau,Syokimau,18500000.0
82,5 Bed Townhouse with En Suite at Westlands,"westlands, Westlands Area, Westlands",16600000.0
83,4 Bed House with En Suite at Utange,"Utange, Bamburi",23000000.0
84,3 Bed House with En Suite at Kimalat Area,"Kimalat Area, Kitengela",24900000.0
85,4 Bed Townhouse with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",30000000.0
86,3 Bed Townhouse with En Suite at Near Kimalat Medical Centre,"Near East African University, Near Kimalat Medical Centre, Kitengela",55000000.0
87,4 Bed Villa with En Suite at Kikuyu,"Kamangu Area, Kikuyu, Kamangu",150000000.0
88,5 Bed House with En Suite at Maki Estate,"Maki Estate, Thika",195000000.0
89,5 Bed House with En Suite at Off Gitanga Road,"Off Gitanga Road, Lavington",8500000.0
90,5 Bed Villa with En Suite in Karen,Karen,71000000.0
91,5 Bed House with En Suite at Thika Road,"0326n, thika road, Thika Road",110000000.0
92,4 Bed House with En Suite in Langata,Langata,11500000.0
93,3 Bed House with En Suite in Utawala,Utawala,180000000.0
94,4 Bed House with En Suite in Kitengela,Kitengela,19000000.0
95,5 Bed House with En Suite in Runda,"Runda, Westlands",59000000.0
96,5 Bed Villa with En Suite in Kileleshwa,Kileleshwa,81000000.0
97,4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,220000000.0
98,3 Bed House in Kitengela,Kitengela,350000000.0
99,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,40000000.0
100,5 Bed Townhouse with En Suite at Jacaranda Avenue,"45, Jacaranda avenue, Lavington",85000000.0
101,5 Bed House with En Suite at Centre Piece,"Migaa Golf Estate, Centre Piece, Kiambu Road",9000000.0
102,4 Bed Townhouse with Staff Quarters at Phase 2,"Phase 2, Buruburu",360000000.0
103,4 Bed Townhouse with En Suite in Membley,"Membley, Ruiru",20000000.0
104,4 Bed Townhouse with En Suite at Off Kirawa Road,"Off Kirawa road, Kitisuru, Westlands",72000000.0
105,5 Bed Villa with En Suite in Karen,Karen,19800000.0
106,6 Bed House with En Suite at Jacaranda Avenue,"45, Jacaranda Avenue, Lavington",135000000.0
107,5 Bed Townhouse with En Suite in Lavington,Lavington,45000000.0
108,4 Bed House in Kileleshwa,Kileleshwa,18000000.0
109,3 Bed Townhouse with En Suite at Kanamai Area,"Kanamai area, Mtwapa",10500000.0
110,5 Bed House with En Suite at 00502,"00502, Lavington",52000000.0
111,5 Bed House with En Suite in Runda,"Runda, Westlands",230000000.0
112,5 Bed Villa with En Suite at Bamburi,Bamburi,150000000.0
113,5 Bed House with En Suite at Karen,Karen,115000000.0
114,5 Bed Villa with En Suite at Lavington,Lavington,6500000.0
115,5 Bed Villa with En Suite at Karen,"karen, Karen",370000000.0
116,5 Bed Townhouse with En Suite in Lavington,Lavington,7300000.0
117,4 Bed Townhouse with En Suite in Lavington,Lavington,106000000.0
118,6 Bed House with En Suite at Bustani,"Bustani, Ruiru",165000000.0
119,4 Bed House with En Suite at Kiambu Road,"00502, Kiambu road, Runda, Westlands",130000000.0
120,5 Bed Townhouse with En Suite at Lavington,Lavington,14500000.0
121,3 Bed Townhouse with En Suite at Mtwapa,Mtwapa,70000000.0
122,4 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",350000000.0
123,4 Bed Villa with En Suite at Kiambu Road,"Kiambu road, Kiambu Road",40000000.0
124,4 Bed House with En Suite in Ruiru,Ruiru,85000000.0
125,5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",90000000.0
126,4 Bed House with En Suite in Syokimau,Syokimau,6800000.0
127,3 Bed House with En Suite in Ruiru,Ruiru,15000000.0
128,3 Bed House with En Suite in Ruiru,Ruiru,10000000.0
129,4 Bed House with En Suite at Behind Gateway Mall,"Behind Gateway Mall, Syokimau",7500000.0
130,4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,11000000.0
131,4 Bed Villa with En Suite at Mombasa Road,"Mombasa Road, Athi River",105000000.0
132,5 Bed House with En Suite at Karen,Karen,370000000.0
133,5 Bed House with En Suite in Runda,"Runda, Westlands",8500000.0
134,4 Bed House with En Suite at Loresho,"Loresho, Westlands",118000000.0
135,4 Bed House with En Suite at Loresho,"Loresho, Westlands",71000000.0
136,4 Bed House with En Suite at Loresho,"Loresho, Westlands",35000000.0
137,3 Bed House with En Suite at Kibiko,"Kibiko, Ngong",100000000.0
138,5 Bed House with En Suite in Karen,Karen,14500000.0
139,4 Bed House with En Suite in Loresho,"Loresho, Westlands",81000000.0
140,5 Bed Townhouse with En Suite in Lavington,Lavington,140000000.0
141,6 Bed Townhouse with En Suite in Lavington,Lavington,70000000.0
142,5 Bed Townhouse with En Suite in Lavington,Lavington,17500000.0
143,5 Bed Townhouse with En Suite in Lavington,Lavington,12600000.0
144,5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",38200000.0
145,5 Bed House with En Suite in Runda,"Runda, Westlands",85000000.0
146,5 Bed House with En Suite in Runda,"Runda, Westlands",24500000.0
147,4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",20000000.0
148,4 Bed House with En Suite at Karen,Karen,6800000.0
149,3 Bed House with Garden in Kitengela,Kitengela,15000000.0
150,3 Bed House with En Suite in Kitengela,Kitengela,14950000.0
151,4 Bed Townhouse with En Suite at Membley,"Membley, Ruiru",20500000.0
152,4 Bed Villa with En Suite at Kanamai Area,"Kanamai Area, Mtwapa",8000000.0
153,4 Bed House with En Suite at Runda,"Runda, Westlands",45000000.0
154,3 Bed House with En Suite at Yukos,"yukos, Kitengela",55500000.0
155,4 Bed House with En Suite at Membley Estate,"Membley Estate, Membley, Ruiru",150000000.0
156,4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",4900000.0
157,6 Bed Townhouse with Staff Quarters in Lavington,Lavington,34500000.0
158,5 Bed Townhouse with En Suite in Lavington,Lavington,6500000.0
159,4 Bed Townhouse with En Suite in Lavington,Lavington,46000000.0
160,5 Bed House with En Suite in Runda,"Runda, Westlands",103000000.0
161,5 Bed Townhouse with En Suite in Lavington,Lavington,8300000.0
162,3 Bed House with En Suite at Muigai Prestige Court,"Muigai prestige Court, Kitengela",9600000.0
163,4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",130000000.0
164,4 Bed House with En Suite at Karen,"karen, Karen",22000000.0
165,3 Bed Villa with En Suite in Ngong,Ngong,6900000.0
166,5 Bed House with En Suite in Runda,"Runda, Westlands",10250000.0
167,3 Bed House with En Suite at Rimpa,"Rimpa, Ongata Rongai",28000000.0
168,5 Bed Townhouse with En Suite in Lavington,Lavington,4800000.0
169,3 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",90000000.0
170,4 Bed Townhouse with En Suite in Lavington,Lavington,21000000.0
171,5 Bed Townhouse with En Suite in Lavington,Lavington,125000000.0
172,4 Bed House with En Suite at Muigai,"Muigai, Kitengela",73000000.0
173,4 Bed Townhouse with Swimming Pool at Runda,"Runda, Westlands",95000000.0
174,3 Bed Villa with En Suite at Bofa Kilifi,"BofA Kilifi, BofA kilifi, Kilifi",8000000.0
175,3 Bed House with En Suite in Kitengela,Kitengela,55000000.0
176,3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,"Near Nairobi - Mombasa Expressway, Athi River",280000000.0
177,4 Bed House with En Suite at Portreitz,"Bahari Estate, Portreitz, Mombasa CBD, Mombasa Island",38500000.0
178,4 Bed House with En Suite at Kirawa Road,"Kirawa road, Kitisuru, Westlands",7500000.0
179,4 Bed House with En Suite in Kitengela,Kitengela,115000000.0
180,3 Bed House with En Suite in Karura,"Karura, Westlands",6500000.0
181,4 Bed House with En Suite in Thika Road,Thika Road,270000000.0
182,4 Bed House with En Suite in Kitengela,Kitengela,105000000.0
183,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,370000000.0
184,3 Bed House with En Suite in Kitengela,Kitengela,8500000.0
185,3 Bed House with En Suite in Kitengela,Kitengela,7000000.0
186,6 Bed Townhouse with En Suite in Karen,Karen,71000000.0
187,4 Bed Townhouse with En Suite in Langata,Langata,110000000.0
188,5 Bed Villa with En Suite in Lavington,Lavington,81000000.0
189,4 Bed Villa with En Suite in Westlands Area,"Westlands Area, Westlands",350000000.0
190,6 Bed Townhouse with En Suite in Lavington,Lavington,85000000.0
191,4 Bed House with En Suite at Loresho,"loresho, Loresho, Westlands",19999000.0
192,3 Bed Townhouse with En Suite at Langata,"langata, Langata",125000000.0
193,6 Bed House with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",29900000.0
194,3 Bed House with En Suite in Kitengela,Kitengela,158500000.0
195,3 Bed House with En Suite in Athi River,Athi River,45000000.0
196,3 Bed House with En Suite in Kitengela,Kitengela,10500000.0
197,4 Bed House with En Suite in Kitengela,Kitengela,120000000.0
198,3 Bed House with En Suite in Kitengela,Kitengela,150000000.0
199,3 Bed House with En Suite in Kitengela,Kitengela,88000000.0
200,3 Bed House in Kitengela,Kitengela,11000000.0
201,4 Bed Villa with En Suite at Diani Beach Road,"Diani Beach Road, Diani",6500000.0
202,3 Bed Villa with En Suite at Mtwapa,"La-marina Estate, Mtwapa",9850000.0
203,3 Bed Villa with En Suite at Kilifi,"Kilifi creek, Kilifi",71000000.0
204,4 Bed House with En Suite at Ruiru,Ruiru,97000000.0
205,5 Bed Villa with En Suite in Lavington,Lavington,100000000.0
206,3 Bed House with En Suite in Kitengela,Kitengela,170000000.0
207,4 Bed House with En Suite in Kitengela,Kitengela,130000000.0
208,4 Bed Villa with En Suite in Karen,Karen,81000000.0
209,3 Bed House with En Suite in Kitengela,Kitengela,140000000.0
210,4 Bed Townhouse with En Suite at Lavington Estate Nairobi,"0324J, Lavington Estate Nairobi, Lavington",98500000.0
211,3 Bed House with En Suite in Kitengela,Kitengela,350000000.0
212,4 Bed Townhouse with En Suite in Lavington,Lavington,160000000.0
213,5 Bed Townhouse with En Suite in Lavington,Lavington,95000000.0
214,5 Bed House with En Suite at Eliud Mathu,"43, Eliud mathu, Runda, Westlands",16000000.0
215,3 Bed House with En Suite in Kitengela,Kitengela,72000000.0
216,5 Bed House with En Suite at Runda Havana Drive,"56, Runda Havana Drive, Runda, Westlands",8000000.0
217,3 Bed House with En Suite in Kitengela,Kitengela,45000000.0
218,5 Bed House with En Suite at Runda,"Runda, Westlands",80000000.0
219,5 Bed Townhouse with En Suite at Ngong Road,"Ngong Road, Kilimani",65000000.0
220,5 Bed House with En Suite in Runda,"Runda, Westlands",7000000.0
221,5 Bed House with En Suite at Runda,"Runda, Westlands",35000000.0
222,4 Bed House with En Suite at Runda,"Runda, Westlands",110000000.0
223,4 Bed Townhouse with En Suite in Nyari,"Nyari, Westlands",100000000.0
224,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",22000000.0
225,5 Bed Townhouse with En Suite in Karen,Karen,81000000.0
226,4 Bed House with En Suite at Fourways Juction,"Fourways Juction Estate, Fourways Juction, Kiambu Road",70000000.0
227,4 Bed House with En Suite at Mushroom Estate,"Mushroom Estate, Kiambu Road",98500000.0
228,5 Bed House in Westlands Area,"Westlands Area, Westlands",28000000.0
229,5 Bed Townhouse with En Suite in Karen,Karen,85000000.0
230,4 Bed House with En Suite at Waiyaki Way,"Waiyaki way, Mountain View, Westlands",9000000.0
231,6 Bed Villa with En Suite at Karen,Karen,48000000.0
232,5 Bed Villa with En Suite at Karen,Karen,90000000.0
233,4 Bed Villa with En Suite at Karen,Karen,390000000.0
234,4 Bed Townhouse with En Suite at Karen,Karen,130000000.0
235,3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",22000000.0
236,3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",59000000.0
237,3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",33000000.0
238,5 Bed House in Runda,"Runda, Westlands",95000000.0
239,4 Bed House with En Suite at Ngong,Ngong,98500000.0
240,4 Bed House at Lavington Green,"Maziwa, Lavington Green, Lavington",17500000.0
241,5 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",55000000.0
242,5 Bed Townhouse with En Suite in Lavington,Lavington,43000000.0
243,5 Bed Townhouse with En Suite in Lavington,Lavington,50000000.0
244,5 Bed Townhouse with En Suite in Karen,Karen,40000000.0
245,5 Bed Townhouse with En Suite in Lavington,Lavington,110000000.0
246,5 Bed House with En Suite at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",7800000.0
247,5 Bed House with En Suite in Karen,Karen,90000000.0
248,4 Bed Townhouse with En Suite in Lavington,Lavington,20000000.0
249,5 Bed Townhouse with En Suite in Lavington,Lavington,38000000.0
250,4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington",18000000.0
251,3 Bed Townhouse with En Suite at Gitanga Road,"Gitanga Road, Lavington",78000000.0
252,5 Bed Villa with En Suite at Ruiru,Ruiru,125000000.0
253,5 Bed House at Hardly Ni Karen,"Hardly ni Karen, Karen",130000000.0
254,5 Bed Townhouse with En Suite in Lavington,Lavington,28500000.0
255,5 Bed Townhouse with En Suite in Lavington,Lavington,33000000.0
256,4 Bed Townhouse with En Suite in Kitengela,Kitengela,80000000.0
257,4 Bed Villa with En Suite at 1St Avenue,"1st Avenue, Nyali Area, Nyali",72000000.0
258,3 Bed House with En Suite in Kitengela,Kitengela,55000000.0
259,4 Bed House with En Suite at Galleria,"Galleria, Karen",60000000.0
260,3 Bed House with En Suite at Kibiko,"Kibiko, Ngong",115000000.0
261,4 Bed House with En Suite at Thika Greens Estate,"Thika Greens Estate, Thika",28000000.0
262,4 Bed Villa with En Suite in Karen,Karen,85000000.0
263,4 Bed House with En Suite at Loresho Crescent,"LORESHO Crescent, Loresho, Westlands",110000000.0
264,4 Bed Villa with En Suite in Karen,Karen,167000000.0
265,4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,100000000.0
266,4 Bed Villa with En Suite at Ruiru,"Ruiru, Tatu City",40000000.0
267,4 Bed House with En Suite at Greenview,"00502, Greenview, Runda, Westlands",57000000.0
268,4 Bed Townhouse with Staff Quarters at Littlemore,"Littlemore, Membley, Ruiru",380000000.0
269,4 Bed Townhouse with Staff Quarters at Peponi Road,"Peponi Road, Westlands Area, Westlands",14500000.0
270,5 Bed Townhouse with En Suite in Lavington,Lavington,15000000.0
271,4 Bed Townhouse with En Suite in Lavington,Lavington,82000000.0
272,3 Bed House with En Suite at Kamura,"Mwangaza, Kamura, Ongata Rongai",96000000.0
273,4 Bed Townhouse with Staff Quarters in Lavington,Lavington,80000000.0
274,6 Bed House with En Suite at Kamangu,"Kamangu, Kikuyu Town, Kikuyu",72000000.0
275,5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",8000000.0
276,4 Bed Townhouse with En Suite at Off Waiyaki Way,"Off Waiyaki Way, Lavington",118000000.0
277,4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Roysambu",60000000.0
278,4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,65000000.0
279,5 Bed House with En Suite at Near 3 Minutes From Lavington Mall.,"00502, Owashika road, near 3 minutes from lavington mall., Lavington",50000000.0
280,7 Bed House with En Suite at Kitisuru Road,"kitisuru road, Kitisuru, Westlands",40000000.0
281,4 Bed House with En Suite at Kitengela (Acacia),"Kitengela (Acacia), Kitengela",85000000.0
282,4 Bed Townhouse with En Suite at Sole Rd,"South B1, Sole Rd, South B",110000000.0
283,4 Bed House with En Suite at Kiambu Road.,"00502, New runda, kiambu road., Runda, Westlands",135000000.0
284,4 Bed Townhouse with En Suite in Karen,Karen,9500000.0
285,5 Bed Villa with En Suite in Karen,Karen,200000000.0
286,4 Bed House with En Suite at Kamakis Corner,"Kamakis Corner, Eastern ByPass, Ruiru",125000000.0
287,4 Bed House with En Suite at Daykio,"Daykio, Ruiru",130000000.0
288,6 Bed House with En Suite at Near Sasini Factory,"Near Sasini Factory, Kiambu Road",120000000.0
289,3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",8500000.0
290,4 Bed Villa with En Suite at Near Gateway Mall,"Near Gateway Mall, Syokimau",95000000.0
291,4 Bed House with Staff Quarters at Thigiri,"Thigiri, Westlands",55900000.0
292,4 Bed Townhouse with Swimming Pool at Fourways Estate,"Fourways Estate, Kiambu Road",55000000.0
293,6 Bed House with Staff Quarters in Karen,Karen,150000000.0
294,4 Bed House with Swimming Pool in Karen,Karen,80000000.0
295,4 Bed Townhouse with Swimming Pool at Ineza Estate,"Ineza Estate, Kiambu Road",7500000.0
296,4 Bed Townhouse with Swimming Pool in Kiambu Road,Kiambu Road,85000000.0
297,4 Bed Townhouse with Swimming Pool at Fivestar Paradise,"Fivestar Paradise, Kiambu Road",7800000.0
298,4 Bed Villa with En Suite at Karen,"karen, Karen",168220000.0
299,5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",550000000.0
300,5 Bed House with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",22400000.0
301,4 Bed Townhouse with En Suite at Kyuna,"kyuna, Kyuna, Westlands",75000000.0
302,4 Bed Townhouse with En Suite in Lavington,Lavington,160000000.0
303,4 Bed House with En Suite at Miotoni,"Miotoni, Karen",95000000.0
304,4 Bed House with En Suite in Lavington,Lavington,72000000.0
305,6 Bed Villa with Staff Quarters in Lavington,Lavington,60000000.0
306,4 Bed Villa with En Suite at Lavington,Lavington,400000000.0
307,5 Bed Villa with En Suite at Muthangari Road,"muthangari road, Lavington",120000000.0
308,5 Bed Villa with En Suite in Runda,"Runda, Westlands",55000000.0
309,5 Bed Townhouse with En Suite at Kitisuru,"Kitisuru, Westlands",80000000.0
310,5 Bed Townhouse with En Suite in Lavington,Lavington,62000000.0
311,4 Bed Townhouse with En Suite in Lavington,Lavington,46000000.0
312,4 Bed Townhouse with En Suite at Waterfront Gardens,"Waterfront Gardens, Loresho, Westlands",32000000.0
313,4 Bed Townhouse with En Suite at Hillview Close,"Hillview Close, Spring Valley, Westlands",105000000.0
314,4 Bed Townhouse with En Suite in Lavington,Lavington,8500000.0
315,4 Bed Townhouse with En Suite at Loresho,"LORESHO, Loresho, Westlands",100000000.0
316,5 Bed Townhouse with En Suite at Lavington,Lavington,19000000.0
317,5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn lone tree Nairobi, Rosslyn, Westlands",70000000.0
318,4 Bed Townhouse with Staff Quarters at Kileleshwa,Kileleshwa,145000000.0
319,4 Bed Villa with En Suite in Lavington,Lavington,350000000.0
320,5 Bed Villa with En Suite at Hole 2,"Migaa Golf Course Estate, Hole 2, Kiambu Road",85000000.0
321,4 Bed Townhouse with En Suite in Lavington,Lavington,20000000.0
322,6 Bed House with En Suite in Runda,"Runda, Westlands",75000000.0
323,3 Bed Townhouse with En Suite in Windsor,"Windsor, Roysambu",160000000.0
324,4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",36500000.0
325,4 Bed Villa with En Suite at Grevillea Groove,"Grevillea Groove, Brookside, Westlands",73000000.0
326,4 Bed House with En Suite in Thika Road,Thika Road,72000000.0
327,3 Bed House with En Suite at Juja Farm Road,"Juja farm Road, Juja",10500000.0
328,4 Bed Townhouse with En Suite at Red Hill Road,"Red Hill road, Rosslyn, Westlands",55000000.0
329,5 Bed Villa with En Suite in Nyari,"Nyari, Westlands",80000000.0
330,8 Bed House with En Suite in Gigiri,"Gigiri, Westlands",150000000.0
331,4 Bed House with En Suite at Rosslyn Lone Tree,"Rosslyn lone tree, Rosslyn, Westlands",65000000.0
332,5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",35000000.0
333,6 Bed Villa with En Suite at Mimosa,"1, Mimosa, Runda, Westlands",235000000.0
334,3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru",110000000.0
335,5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",100000000.0
336,4 Bed Townhouse with En Suite at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",140000000.0
337,4 Bed Townhouse with En Suite in Lavington,Lavington,70000000.0
338,4 Bed House with En Suite at Muigai,"Muigai, Kitengela",220000000.0
339,4 Bed Townhouse with En Suite at Spring Valley,"Spring valley, Spring Valley, Westlands",350000000.0
340,4 Bed Villa with En Suite in Loresho,"Loresho, Westlands",28000000.0
341,5 Bed Townhouse with En Suite in Lavington,Lavington,85000000.0
342,4 Bed Townhouse with En Suite in Lavington,Lavington,48000000.0
343,4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",15000000.0
344,5 Bed House with Staff Quarters at Runda Mimosa,"Runda Mimosa, Runda, Westlands",95000000.0
345,4 Bed House with Staff Quarters at Garden Estate,"Garden Estate, Roysambu",101000000.0
346,5 Bed House with En Suite at Garden Estate,"Garden Estate, Roysambu",8000000.0
347,5 Bed House with Swimming Pool in Karen,Karen,13500000.0
348,4 Bed Villa with En Suite in Lavington,Lavington,30000000.0
349,5 Bed Townhouse with En Suite in Lavington,Lavington,147000000.0
350,5 Bed House with En Suite at Runda Road,"99, Runda Road, Runda, Westlands",80000000.0
351,6 Bed House with En Suite at Flem Tree,"78, Flem Tree, Runda, Westlands",150000000.0
352,3 Bed House with En Suite in Kitengela,Kitengela,11500000.0
